dbname	url	slice
sqwiktionary	https://sq.wiktionary.org	s3.labsdb
tgwiki	https://tg.wikipedia.org	s3.labsdb
jawikiversity	https://ja.wikiversity.org	s3.labsdb
nnwiktionary	https://nn.wiktionary.org	s3.labsdb
huwikinews	https://hu.wikinews.org	s3.labsdb
viwiki	https://vi.wikipedia.org	s7.labsdb
fawikibooks	https://fa.wikibooks.org	s3.labsdb
ltwikiquote	https://lt.wikiquote.org	s3.labsdb
mswiki	https://ms.wikipedia.org	s3.labsdb
mrwikibooks	https://mr.wikibooks.org	s3.labsdb
abwiki	https://ab.wikipedia.org	s3.labsdb
thwikibooks	https://th.wikibooks.org	s3.labsdb
ikwiki	https://ik.wikipedia.org	s3.labsdb
eewiki	https://ee.wikipedia.org	s3.labsdb
mkwiki	https://mk.wikipedia.org	s3.labsdb
guwikisource	https://gu.wikisource.org	s3.labsdb
ptwiki	https://pt.wikipedia.org	s2.labsdb
novwiki	https://nov.wikipedia.org	s3.labsdb
astwiktionary	https://ast.wiktionary.org	s3.labsdb
cawikisource	https://ca.wikisource.org	s3.labsdb
nds_nlwiki	https://nds-nl.wikipedia.org	s3.labsdb
bgwikinews	https://bg.wikinews.org	s3.labsdb
jbowiki	https://jbo.wikipedia.org	s3.labsdb
brwiktionary	https://br.wiktionary.org	s3.labsdb
nlwikivoyage	https://nl.wikivoyage.org	s3.labsdb
srwikibooks	https://sr.wikibooks.org	s3.labsdb
tewikiquote	https://te.wikiquote.org	s3.labsdb
pihwiki	https://pih.wikipedia.org	s3.labsdb
pcdwiki	https://pcd.wikipedia.org	s3.labsdb
lvwiktionary	https://lv.wiktionary.org	s3.labsdb
barwiki	https://bar.wikipedia.org	s3.labsdb
bgwikibooks	https://bg.wikibooks.org	s3.labsdb
scnwiktionary	https://scn.wiktionary.org	s3.labsdb
azbwiki	https://azb.wikipedia.org	s3.labsdb
sawikisource	https://sa.wikisource.org	s3.labsdb
idwiktionary	https://id.wiktionary.org	s3.labsdb
dawikibooks	https://da.wikibooks.org	s3.labsdb
mlwikiquote	https://ml.wikiquote.org	s3.labsdb
bhwiktionary	https://bh.wiktionary.org	s3.labsdb
cswikinews	https://cs.wikinews.org	s3.labsdb
cawikiquote	https://ca.wikiquote.org	s3.labsdb
miwiktionary	https://mi.wiktionary.org	s3.labsdb
nowikinews	https://no.wikinews.org	s3.labsdb
frwikivoyage	https://fr.wikivoyage.org	s3.labsdb
tkwikibooks	https://tk.wikibooks.org	s3.labsdb
fiwikisource	https://fi.wikisource.org	s3.labsdb
yowikibooks	https://yo.wikibooks.org	s3.labsdb
